% UltraMSK: version 1.1.1
% Site: fairbanks
% Date: 2022-03-01
% Frequency: 24400.000000 Hz
% Baud Rate: 200 Hz
% VLF Channel: 2
% PPS Channel: 1
% Jack Server: default
% Output Format: Polar
% End                  
00792.000  -86.31 -118.36
00793.000  -87.61 -108.71
00794.000  -87.52  -96.99
00795.000  -88.47 -106.66
00796.000  -87.47 -101.88
00797.000  -88.00 -100.79
00798.000  -87.13  -95.20
00799.000  -89.13  -84.19
00800.000  -88.69  -83.67
00801.000  -87.14  -94.37
00802.000  -87.11  -97.97
00803.000  -86.85  -92.02
00804.000  -87.33  -93.23
00805.000  -86.40  -91.14
00806.000  -87.14  -90.54
00807.000  -87.25  -90.29
00808.000  -86.47  -83.44
00809.000  -86.88  -91.64
00810.000  -86.70  -89.85
00811.000  -86.51  -84.93
00812.000  -86.69  -86.68
00813.000  -86.26  -84.50
00814.000  -86.94  -92.70
00815.000  -87.15  -94.29
00816.000  -86.74  -99.22
00817.000  -87.50  -90.04
00818.000  -87.18  -86.06
00819.000  -87.13 -102.72
00820.000  -87.17  -96.43
00821.000  -88.06 -100.60
00822.000  -88.13  -98.97
00823.000  -87.92  -93.18
00824.000  -88.20 -100.61
00825.000  -87.72  -99.83
00826.000  -87.63 -105.79
00827.000  -87.52 -106.66
00828.000  -87.90 -104.41
00829.000  -87.79  -96.70
00830.000  -87.39 -100.99
00831.000  -87.35 -109.55
00832.000  -87.77  -99.28
00833.000  -87.52  -99.40
00834.000  -87.22 -106.71
00835.000  -87.38  -99.07
00836.000  -87.06 -100.31
00837.000  -86.57  -91.34
00838.000  -86.46  -93.25
00839.000  -86.22  -94.40
00840.000  -86.17 -105.39
00841.000  -86.83 -100.47
00842.000  -87.37  -97.22
00843.000  -87.13  -99.87
00844.000  -86.71 -104.08
00845.000  -87.23 -102.76
00846.000  -86.29 -111.00
00847.000  -87.12 -111.80
00848.000  -87.09 -110.32
00849.000  -86.56 -104.30
00850.000  -86.61 -113.25
00851.000  -87.88 -116.15
00852.000  -86.93 -117.81
00853.000  -87.57 -118.29
00854.000  -87.10 -122.68
00855.000  -87.08 -125.82
00856.000  -87.87 -130.47
00857.000  -87.43 -123.18
00858.000  -86.69 -130.11
00859.000  -87.32 -138.85
00860.000  -87.35 -137.01
00861.000  -87.04 -137.39
00862.000  -87.72 -137.66
00863.000  -86.33 -133.71
00864.000  -88.74 -129.00
00865.000  -87.51 -123.21
00866.000  -86.79 -120.71
00867.000  -87.98 -123.28
00868.000  -87.38 -120.52
00869.000  -85.69 -110.15
00870.000  -86.40 -121.78
00871.000  -86.61 -120.66
00872.000  -86.51 -113.54
00873.000  -86.83 -108.52
00874.000  -86.51 -106.21
00875.000  -86.12 -109.37
00876.000  -86.88 -109.67
00877.000  -85.92 -101.68
00878.000  -86.84 -110.73
